catalog_id,smiles,product_name,pubchem_id,chemical_name,molecular_formula,cas_numeber,molecular_weight_batch,target_class,primary_target,primary_action,brief_description,batch,rdkit_smiles,chemical_cluster_0.75,medoid_0.75
4190,O=C(CC3=CC=C(C(C)C)C=C3)N(C2)CCC[C@H]2[C@@]1=CC(OC(C)(C)C(O)=O)=CC=C1,CP 775146,10410059,2-Methyl-2-[3-[(3S)-1-[2-[4-(1-methylethyl)phenyl]acetyl]-3-piperidinyl]phenoxy]-propanoic acid,C26H33NO4,[702680-17-9],432.55,Nuclear Receptors,PPARalpha Receptors,Agonist,"Selective, high affinity PPAR? agonist",1,CC(C)c1ccc(CC(=O)N2CCC[C@@H](c3cccc(OC(C)(C)C(=O)O)c3)C2)cc1,295,1
4196,FC1=CC=C(CN3C(/C(SC3=O)=C/C2=CC=C(OCC4=CC(B(O)O)=CC=C4)C=C2)=O)C=C1,HA 130,46911532,"B-[3-[[4-[[3-[(4-Fluorophenyl)methyl]-2,4-dioxo-5-thiazolidinylidene]methyl]phenoxy]methyl]phenyl]-boronic acid",C24H19BFNO5S,[1229652-21-4],463.29,Enzymes,Autotaxin,Inhibitor,Potent and selective autotaxin inhibitor,1,O=C1S/C(=C\c2ccc(OCc3cccc(B(O)O)c3)cc2)C(=O)N1Cc1ccc(F)cc1,443,1
4198,NCCCCCNC1(C2=CC=CC=C2)CCCCC1.Br.Br,IEM 1925 dihydrobromide,44561101,"N-(1-Phenylcyclohexyl)-1,5-pentanediamine dihydrobromide",C17H28N2.2HBr,[258282-23-4],431.25,Ion Channels,AMPA Receptors,Antagonist,Voltage- and use-dependent open-channel AMPA blocker,1,NCCCCCNC1(c2ccccc2)CCCCC1,636,1
4206,CC1=C(C3=CC=C(S(=O)(N)=O)C=C3)C(C2=CC=CC=C2)=NO1,Valdecoxib,119607,4-(5-Methyl-3-phenylisoxazol-4-yl)benzenesulfonamide,C16H14N2O3S,[181695-72-7],314.36,Enzymes,Cyclooxygenase,Inhibitor,Selective and potent COX-2 inhibitor,1,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,244,1
4216,CC(C)[C@@H]([C@@](O)=O)N(C(CCCC)=O)CC(C=C3)=CC=C3C1=CC=CC=C1C2=NN=NN2,Valsartan,60846,"(S)-3-methyl-2-[N-({4-[2-(2H-1,2,3,4-tetrazol-5-yl)phenyl]phenyl}methyl)pentanamido]butanoic acid",C24H29N5O3,[137862-53-4],449.03,7-TM Receptors,Angiotensin AT1 Receptors,Antagonist,"High affinity, selective AT1 antagonist",1,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C,664,0
4220,O=C1N(CCC)C(C(NC(C3=CC=C(OCC(O)=O)C=C3)=N2)=C2N1CCC)=O,XCC,126079,"2-[4-(2,3,6,7-Tetrahydro-2,6-dioxo-1,3-dipropyl-1H-purin-8-yl)phenoxy]-acetic acid",C19H22N4O5,[96865-83-7],386.4,7-TM Receptors,Non-selective Adenosine,Antagonist,Adenosine receptor antagonist,1,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)O)cc3)nc2n(CCC)c1=O,668,0
4222,CN(C)CCCN2C1=CC=CC=C1C(/C=C(C(NCCCCCCCC)=O)\C#N)=C2,Dynole 34-2,44157463,2-Cyano-3-[1-[3-(dimethylamino)propyl]-1H-indol-3-yl]-N-octyl-2-propenamide,C25H36N4O,[1128165-88-7],408.58,Enzymes,Dynamin,Inhibitor,Dynamin I inhibitor,1,CCCCCCCCNC(=O)/C(C#N)=C/c1cn(CCCN(C)C)c2ccccc12,786,0
4228,O=C(C)N1CCN(C(/C=C/C2=CC([N+]([O-])=O)=C(SC3=CC=CC=C3C(C)C)C=C2)=O)CC1,A 286982,9846729,(2E)-1-(4-Acetyl-1-piperazinyl)-3-[4-[[2-(1-methylethyl)phenyl]thio]-3-nitrophenyl]-2-propen-1-one,C24H27N3O4S,[280749-17-9],458.05,Enzyme-Linked Receptors,Integrins,Inhibitor,Potent inhibitor of the LFA-1/ICAM-1 interaction,1,CC(=O)N1CCN(C(=O)/C=C/c2ccc(Sc3ccccc3C(C)C)c([N+](=O)[O-])c2)CC1,756,1
4236,CCNC(CC4)(C(N)=O)CCN4C1=NC=NC2=C1N=C(C5=C(Cl)C=CC=C5)N2C3=CC=C(Cl)C=C3.Cl,CP 945598 hydrochloride,16223963,1-[8-(2-Chlorophenyl)-9-(4-chlorophenyl)-9H-purin-6-yl]-4-(ethylamino)piperidine-4-carboxamide hydrochloride,C25H25Cl2N7O.HCl,[686347-12-6],546.88,7-TM Receptors,CB1 Receptors,Antagonist,CB1 antagonist,1,CCNC1(C(N)=O)CCN(c2ncnc3c2nc(-c2ccccc2Cl)n3-c2ccc(Cl)cc2)CC1,656,1
4248,O=C(C=C3)N(C5=CC=CC(C(F)(F)F)=C5)C2=C3C=NC1=CC=C(C4=CC=C(N)N=C4)C=C12,Torin 2,51358113,"9-(6-Amino-3-pyridinyl)-1-[3-(trifluoromethyl)phenyl]-benzo[h]-1,6-naphthyridin-2(1H)-one",C24H15F3N4O,[1223001-51-1],441.41,Enzymes,mTOR,Inhibitor,Potent and selective mTOR inhibitor,3,Nc1ccc(-c2ccc3ncc4ccc(=O)n(-c5cccc(C(F)(F)F)c5)c4c3c2)cn1,687,1
4249,ClC1=C(OCCCC)C=CC(C2=CN=CC(C(NCC3=CC=CN=C3N4CCOCC4)=O)=C2)=C1,A 887826,46919335,5-(4-Butoxy-3-chlorophenyl)-N-[[2-(4-morpholinyl)-3-pyridinyl]methyl-3-pyridine carboxamide,C26H29ClN4O3,[1266212-81-0],480.99,Ion Channels,Voltage-gated Sodium Channels,Blocker,Potent voltage-dependent NaV1.8 channel blocker,1,CCCCOc1ccc(-c2cncc(C(=O)NCc3cccnc3N3CCOCC3)c2)cc1Cl,316,1
4255,O=C(NNC(NC2=CC=CC3=C2C=CC=C3)=O)C1=CC(OC)=CC(OC)=C1,TC-O 9311,3376937,"3,5-Dimethoxybenzoic acid 2-[(1-naphthalenylamino)carbonyl]hydrazide",C20H19N3O4,[444932-31-4],378.89,7-TM Receptors,Orphan 7-TM Receptors,Agonist,Potent and selective GPR139 agonist,1,COc1cc(OC)cc(C(=O)NNC(=O)Nc2cccc3ccccc23)c1,481,1
4256,CC3=C(SC=C3)/C(C2=C(C)C=CS2)=C\CCN1C[C@H](C(O)=O)CCC1.Cl,Tiagabine hydrochloride,91274,"(3R)-1-[4,4-Bis(3-methyl-2-thienyl)-3-butenyl]-3-piperidinecarboxylic acid hydrochloride",C20H25NO2S2.HCl,[145821-59-6],424.02,Transporters,GABA Transporters,Inhibitor,Selective GAT-1 inhibitor; anticonvulsant,1,Cc1ccsc1C(=CCCN1CCC[C@@H](C(=O)O)C1)c1sccc1C,298,0
4257,OC1=CC2=C(NC(C3=NN(C(C)C)C4=C3C(N)=NC=N4)=C2)C=C1,PP 242,25243800,"2-[4-Amino-1-(1-methylethyl)-1H-pyrazolo[3,4-d]pyrimidin-3-yl]-1H-indol-5-ol",C16H16N6O,[1092351-67-1],317.35,Enzymes,mTOR,Inhibitor,Dual mTORC1/mTORC2 inhibitor,3,CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21,833,1
4266,COC(C=C4)=CC=C4C1CC(C3=CC=CC=C3)=NN1C2=CC=C(S(=O)(N)=O)C=C2,ML 141,2950007,"4-[4,5-Dihydro-5-(4-methoxyphenyl)-3-phenyl-1H-pyrazol-1-yl]benzenesulfonamide",C22H21N3O3S,[71203-35-5],407.49,Enzymes,Rho,Inhibitor,Selective Cdc42 Rho family inhibitor,2,COc1ccc(C2CC(c3ccccc3)=NN2c2ccc(S(N)(=O)=O)cc2)cc1,244,0
4268,CC(C)OC1=CC=C(CC2=CC=C(NC3=NCCN3)C=C2)C=C1.Cl,Ro 1138452 hydrochloride,91826074,"4,5-Dihydro-N-[4-[[4-(1-methylethoxy)phenyl]methyl]phenyl]-1H-imidazol-2-amine hydrochloride",C19H23N3O.HCl,,345.87,7-TM Receptors,Prostanoid Receptors,Antagonist,Selective prostacyclin IP receptor antagonist,1,CC(C)Oc1ccc(Cc2ccc(NC3=NCCN3)cc2)cc1,745,1
4273,O=C2C3=C(C=CC=C3)N(C)C1=NC(NC4=C(OC)C=C(C(N5CCC(N6CCN(C)CC6)CC5)=O)C=C4)=NC=C1N2C,LRRK2-IN-1,46843906,"5,11-Dihydro-2-[[2-methoxy-4-[[4-(4-methyl-1-piperazinyl)-1-piperidinyl]carbonyl]phenyl]amino]-5,11-dimethyl-6H-pyrimido[4,5-b][1,4]benzodiazepin-6-one",C31H38N8O3,[1234480-84-2],579.1,Enzymes,LRRK2,Inhibitor,Potent and selective LRRK2 inhibitor,1,COc1cc(C(=O)N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C,398,0
4277,O=C([C@H](N)C4CCCCC4)NC1=CC3=C(C(C=NNC3=O)=C(C5=CN(C)N=C5)N2)C2=C1,PF 477736,16750408,"(R)-?-Amino-N-[5,6-dihydro-2-(1-methyl-1H-pyrazol-4-yl)-6-oxo-1H-pyrrolo[4,3,2-ef][2,3]benzodiazepin-8-yl]-cyclohexaneacetamide",C22H25N7O2,[952021-60-2],419.48,Enzymes,Checkpoint Kinases,Inhibitor,Selective Chk1 inhibitor,1,Cn1cc(-c2[nH]c3cc(NC(=O)[C@H](N)C4CCCCC4)cc4c3c2C=NNC4=O)cn1,55,1
4278,O=C2NC1=CC=C(NC3=NC=C(C(F)(F)F)C(NCC4=CC=CC=C4N(C)S(=O)(C)=O)=N3)C=C1C2,PF 431396,11598628,"N-Methyl-N-[2-[[[2-[(2,3-dihydro-2-oxo-1H-indol-5-yl)amino]-5-(trifluoromethyl)-4-pyrimidinyl]amino]methyl]phenyl]methanesulfonamide",C22H21F3N6O3S,[717906-29-1],515.51,Enzymes,Focal Adhesion Kinase,Inhibitor,Dual FAK/PYK2 inhibitor,2,CN(c1ccccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O,408,0
4281,NC1=C(C(COC4=CC(Cl)=CC=C4)=NN2C3CCOCC3)C2=NC=N1.Cl,PF 4800567 hydrochloride,71751553,"3-[(3-Chlorophenoxy)methyl]-1-(tetrahydro-2H-pyran-4-yl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine hydrochloride",C17H18ClN5O2.HCl,[1391052-28-0],396.27,Enzymes,Casein Kinase 1,Inhibitor,Selective casein kinase 1? inhibitor,2,Nc1ncnc2c1c(COc1cccc(Cl)c1)nn2C1CCOCC1,832,0
4288,OC(C=C2)=CC=C2C1=NOC(CC(OC)=O)C1,ISO 1,6098948,"4,5-Dihydro-3-(4-hydroxyphenyl)-5-isoxazoleacetic acid methyl ester",C12H13NO4,[478336-92-4],235.24,Cell biology,Cytokines,Inhibitor,Macrophage migration inhibitory factor (MIF) inhibitor,2,COC(=O)CC1CC(c2ccc(O)cc2)=NO1,227,0
4289,CC(C)OC1=C(C#N)C=C(C2=NC(C3=C(CCC4NCCC(O)=O)C4=CC=C3)=NO2)C=C1.Cl,RP 001 hydrochloride,90488927,"N-[4-[5-[3-Cyano-4-(1-methylethoxy)phenyl]-1,2,4-oxadiazol-3-yl]-2,3-dihydro-1H-inden-1-yl]-?-alanine hydrochloride",C24H24N4O4.HCl,[1781880-34-9],468.93,7-TM Receptors,Sphingosine-1-phosphate Receptors,Agonist,Potent S1P1 agonist,1,CC(C)Oc1ccc(-c2nc(-c3cccc4c3CCC4NCCC(=O)O)no2)cc1C#N,716,0
4293,FC1=CC(F)=CC=C1N2C(/C=N/NC(NC(C)(C)C)=S)=C(C(OC)=O)C=N2,CID 2745687,9581011,"1-(2,4-Difluorophenyl)-5-[[2-[[(1,1-dimethylehyl)amino]thioxomethyl]hydrazinylidene]methyl]-1H-pyrazole-4-carboxylic acid methyl ester",C17H19F2N5O2S,[264233-05-8],395.43,7-TM Receptors,GPR35,Antagonist,GPR35 antagonist,1,COC(=O)c1cnn(-c2ccc(F)cc2F)c1/C=N/NC(=S)NC(C)(C)C,525,1
4297,C=CCNC2=NC=NC1=CC=C(Br)C=C12,SMER 28,1560402,6-Bromo-N-2-propenyl-4-quinazolinamine,C11H10BrN3,[307538-42-7],264.12,Cell biology,Autophagy,Activator,Positive regulator of autophagy,1,C=CCNc1ncnc2ccc(Br)cc12,388,1
4299,CC(N(C4=CN=CC=C4)C(C)=C3)=C3/C=C(SC2=O)/C(N2C1=CC=CC=C1)=O,iCRT 14,5967294,"5-[[2,5-Dimethyl-1-(3-pyridinyl)-1H-pyrrol-3-yl]methylene]-3-phenyl-2,4-thiazolidinedion",C21H17N3O2S,[677331-12-3],375.44,Cell biology,Beta-catenin,Other,Inhibits ?-catenin-responsive transcription (CRT),1,Cc1cc(/C=C2\SC(=O)N(c3ccccc3)C2=O)c(C)n1-c1cccnc1,714,1
4305,ClC1=NC=C(NC(C2=CC(F)=C(F)C=C2)=O)C=N1,ICA 069673,10149311,"N-(2-Chloro-5-pyrimidinyl)-3,4-difluorobenzamide",C11H6ClF2N3O,[582323-16-8],269.63,Ion Channels,Voltage-Gated Potassium Channels,Activator,KV7.2/KV7.3 channel opener,2,O=C(Nc1cnc(Cl)nc1)c1ccc(F)c(F)c1,518,1
4306,O=C(NCC(N[C@@H]2CCN([C@H]3CC[C@](C4=CC=C(OC)N=C4)(O)CC3)C2)=O)C1=CC(C(F)(F)F)=CC=C1.CS(=O)(O)=O.CS(=O)(O)=O,INCB 3284 dimesylate,11679268,N-[2-[[(3R)-1-[trans-4-Hydroxy-4-(6-methoxy-3-pyridinyl)cyclohexyl]-3-pyrrolidinyl]amino]-2-oxoethyl]-3-(trifluoromethyl)-benzamide dimethanesulfonate,C26H31F3N4O4.2CH4O3S,[887401-93-6],712.76,7-TM Receptors,Chemokine CC Receptors,Antagonist,Selective CCR2 antagonist,2,COc1ccc([C@]2(O)CC[C@H](N3CC[C@@H](NC(=O)CNC(=O)c4cccc(C(F)(F)F)c4)C3)CC2)cn1,325,1
4307,OCC4=CC=C(O4)C2=NN(CC3=CC=CC=C3)C1=CC=CC=C12,YC 1,5712,3-(5'-Hydroxymethyl-2'-furyl)-1-benzyl indazole,C19H16N2O2,[170632-47-0],304.34,Enzymes,Guanylyl Cyclase,Activator,Soluble guanylyl cyclase (sGC) activator; induces G1 cell cycle arrest,1,OCc1ccc(-c2nn(Cc3ccccc3)c3ccccc23)o1,167,0
4308,C#CCN[C@@H]2CCC1=CC=CC=C12.CS(=O)(O)=O,Rasagiline mesylate,3052775,"(1R)-2,3-Dihydro-N-2-propynyl-1H-inden-1-amine methanesulfonate",C12H13N.CH3SO3H,[161735-79-1],267.34,Enzymes,Monoamine Oxidase,Inhibitor,Selective and irreversible MAO-B inhibitor,1,C#CCN[C@@H]1CCc2ccccc21,142,0
4311,O=C(OC(C)(C)C)N1CCC(COC(NC2=CC=CC=C2OC)=O)CC1,GW 542573X,24885053,"4-[[[[(2-Methoxyphenyl)amino]carbonyl]oxy]methyl]-piperidinecarboxylic acid-1,1-dimethylethyl ester",C19H28N2O5,[660846-41-3],364.44,Ion Channels,Ca2+-Activated Potassium Channels,Activator,Selective activator of KCa2.1 channels,1,COc1ccccc1NC(=O)OCC1CCN(C(=O)OC(C)(C)C)CC1,351,1
4317,O=C(N[C@@H]2[C@H](C3=CC=CC=C3)OC(C)(C)OC2)NC1=C(Br)C=C(Br)C=C1,JNJ 10397049,9869934,"N-(2,4-Dibromophenyl)-N'-[(4S,5S)-2,2-dimethyl-4-phenyl-1,3-dioxan-5-yl]-urea",C19H20Br2N2O3,[708275-58-5],484.18,7-TM Receptors,OX2 Receptor,Antagonist,Selective OX2 receptor antagonist,1,CC1(C)OC[C@H](NC(=O)Nc2ccc(Br)cc2Br)[C@H](c2ccccc2)O1,130,1
4319,O=C(NC3=CC=C(S(=O)(C(F)(F)F)=O)C=C3)C(CC2)=CCN2C1=C(C(F)(F)F)C=CC=N1,A 784168,11420211,"3,6-Dihydro-3'-(trifluoromethyl)-N-[4-[(trifluoromethyl)sulfonyl]phenyl]-[1(2H),2'-bipyridine]-4-carboxamide",C19H15F6N3O3S,[824982-41-4],479.4,Ion Channels,TRPV,Antagonist,Potent and selective TRPV1 antagonist,2,O=C(Nc1ccc(S(=O)(=O)C(F)(F)F)cc1)C1=CCN(c2ncccc2C(F)(F)F)CC1,470,0
4323,FC1=CC=CC(C#CC2=CC=C(C(NC3CCC3)=O)C=N2)=C1.Cl,VU 0360172 hydrochloride,53384852,N-Cyclobutyl-6-[2-(3-fluorophenyl)ethynyl]-3-pyridinecarboxamide hydrochloride,C18H15FN2O.HCl,[1309976-62-2],330.78,7-TM Receptors,Glutamate (Metabotropic) Group I Receptors,Modulator,Positive allosteric modulator of mGlu5 receptors,3,O=C(NC1CCC1)c1ccc(C#Cc2cccc(F)c2)nc1,723,1
4326,CCN1C3=C(C=CC=C3)C2=C1C=CC(CNC)=C2.Cl,PhiKan 083,16255105,9-Ethyl-N-methyl-9H-carbazole-3-methanamine hydrochloride,C16H18N2. HCl,[880813-36-5],274.79,Cell biology,p53,Other,p53 stabilizing agent,1,CCn1c2ccccc2c2cc(CNC)ccc21,779,1
4334,NC1=C3C(N([C@@H]4O[C@H](CO)[C@@H](O)[C@@H]4O)C=N3)=NC(SCCC2=CC=C(S(=O)(O)=O)C=C2)=N1.N,PSB 0777 ammonium salt,90488932,4-[2-[(6-Amino-9-b-D-ribofuranosyl-9H-purin-2-yl)thio]ethyl]benzenesulfonic acid ammonium salt,C18H20N5O7S2.NH4,[2122196-16-9],527.57,7-TM Receptors,Adenosine A2A Receptors,Agonist,Potent adenosine A2A agonist,2,Nc1nc(SCCc2ccc(S(=O)(=O)O)cc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,841,0
4336,O=C(C)/C=C1SC2=CC=C(OC)C=C2N\1CC,TG 003,647991,(1Z)-1-(3-Ethyl-5-methoxy-2(3H)-benzothiazolylidene)-2-propanone,C13H15NO2S,[719277-26-6],249.33,Enzymes,Cdc2-like kinases,Inhibitor,Potent inhibitor of Clk-family kinases; also inhibits DYRK1A/B,2,CCN1/C(=C/C(C)=O)Sc2ccc(OC)cc21,19,1
4343,CC(C)N(CC5)CCC5NC1=C2C(C=C(OCCCN4CCCC4)C(OC)=C2)=NC(C3CCCCC3)=N1,UNC 0638,46224516,2-Cyclohexyl-6-methoxy-N-[1-(1-methylethyl)-4-piperidinyl]-7-[3-(1-pyrrolidinyl)propoxy]-4-quinazolinamine,C30H47N5O2,[1255580-76-7],509.73,Enzymes,G9a/GLP,Inhibitor,Selective G9a and GLP inhibitor,2,COc1cc2c(NC3CCN(C(C)C)CC3)nc(C3CCCCC3)nc2cc1OCCCN1CCCC1,393,0
4344,ClC1=CC(S(NC2=C(C)C=C([N+]([O-])=O)C=C2)(=O)=O)=C(Cl)C=C1,FH 535,3463933,"2,5-Dichloro-N-(2-methyl-4-nitrophenyl)benzenesulfonamide",C13H10Cl2N2O4S,[108409-83-2],361.2,Cell biology,Beta-catenin,Other,Inhibitor of Wnt/?-catenin signaling,1,Cc1cc([N+](=O)[O-])ccc1NS(=O)(=O)c1cc(Cl)ccc1Cl,89,0
4346,FC(C=C2)=CC=[C@@]2[C@@H]1CCCN1S(C3=CC=C(C)C=C3)(=O)=O,Ro 67-7476,32681978,(2S)-2-(4-Fluorophenyl)-1-[(4-methylphenyl)sulfonyl]-pyrrolidine,C17H18FNO2S,[298690-60-5],319.39,7-TM Receptors,Glutamate (Metabotropic) Group I Receptors,Modulator,Positive allosteric modulator of mGlu1 receptors,1,Cc1ccc(S(=O)(=O)N2CCC[C@H]2c2ccc(F)cc2)cc1,108,1
4349,CC4=CC2=C(S4)NC1=CC=CC=C1N=C2N3CCN(C)CC3,Olanzapine,4585,"2-Methyl-4-(4-methyl-1-piperazinyl)-10H-thieno[2,3-b][1,5]benzodiazepine",C17H20N4S,[132539-06-1],312.43,7-TM Receptors,5-HT2A Receptors,Antagonist, 5-HT2A antagonist; also D2 antagonist; atypical antipsychotic,2,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,269,1
4350,O=C(NC)C1=C(SC2=CC=C(C(/C=C/C4=CC=CC=N4)=NN3)C3=C2)C=CC=C1,Axitinib,6450551,N-Methyl-[[3[(1E)-2-(2-pyridinyl)ethenyl]-1H-indazol-6-yl]thio]-benzamide,C22H18N4OS,[319460-85-0],386.47,Enzyme-Linked Receptors,VEGFR,Inhibitor,"Potent VEGFR-1, -2 and -3 inhibitor",1,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,537,1
4351,[H][C@@]12CC[C@@](C[C@H](OC(C4=CC=C(F)C=C4)C3=CC=C(F)C=C3)C2)([H])N1CCCC.Cl,JHW 007 hydrochloride,71771746,(3-endo)-3-[Bis(4-fluorophenyl)methoxy]-8-butyl-8-azabicyclo[3.2.1]octane hydrochloride,C24H29F2NO.HCl,[202645-74-7],421.95,Transporters,Dopamine Transporters,Inhibitor,High affinity dopamine uptake inhibitor,1,CCCCN1[C@H]2CC[C@@H]1C[C@H](OC(c1ccc(F)cc1)c1ccc(F)cc1)C2,260,1
4354,NC2=NC1=CC=CC=C1N2S(=O)(C3=CC=C(C)C=C3)=O,ML 130,1088438,1-[(4-Methylphenyl)sulfonyl]-1H-benzimidazol-2-amine,C14H13N3O2S,[799264-47-4],287.34,Cell biology,NF-kB/IkB,Inhibitor,Inhibits NOD1-induced NF-?B activation,1,Cc1ccc(S(=O)(=O)n2c(N)nc3ccccc32)cc1,107,1
4355,O=C(N(CC)C6=C5C=CC=C6)N5[C@H]1CCCN(C2=NC(C3=CC(C=CC=C4)=C4O3)=CC=N2)C1,TC-F 2,25198728,"1-[(3S)-1-[4-(2-Benzofuranyl)-2-pyrimidinyl]-3-piperidinyl]-3-ethyl-1,3-dihydro-2H-benzimidazol-2-one",C26H25N5O2,[1304778-15-1],439.51,Enzymes,Fatty Acid Amide Hydrolase (FAAH),Inhibitor,"Potent, reversible and selective FAAH inhibitor",1,CCn1c(=O)n([C@H]2CCCN(c3nccc(-c4cc5ccccc5o4)n3)C2)c2ccccc21,261,0
4361,ClC1=CC(Cl)=C(OC)C=C1NC3=C(C#N)C=NC2=CC(OCCCN4CCN(C)CC4)=C(OC)C=C23,Bosutinib,5328940,"4-[(2,4-Dichloro-5-methoxyphenyl)amino]-6-methoxy-7-[3-(4-methyl-1-piperazinyl)propoxy]-3-quinolinecarbonitrile",C26H29Cl2N5O3,[380843-75-4],539.46,Enzymes,Src Kinases,Inhibitor,Dual Src-Abl inhibitor; antiproliferative,1,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,391,0
4374,[H][C@]12CC[C@](CC(NC(N3C(C=CC=C4)=C4N(C(C)C)C3=O)=O)C2)([H])N1C.Cl,BIMU 8,5311028,"2,3-Dihydro-N-[(3-endo)-8-methyl-8-azabicyclo[3.2.1]oct-3-yl]-3-(1-methylethyl)-2-oxo-1H-benzimidazole-1-carboxamide hydrochloride",C19H26N4O2.HCl,[134296-40-5],387.91,7-TM Receptors,5-HT4 Receptors,Agonist,Potent 5-HT4 agonist,4,CC(C)n1c(=O)n(C(=O)NC2C[C@@H]3CC[C@H](C2)N3C)c2ccccc21,259,1
4375,O=C4C2=NC1=NON=C1N=C2C3=CC=CC=C34,SMER 3,568763,"9H-Indeno[1,2-e][1,2,5]oxadiazolo[3,4-b]pyrazin-9-one",C11H4N4O2,[67200-34-4],224.18,Enzymes,Ubiquitin E3 Ligases,Inhibitor,Selective inhibitor of E3 ubiquitin ligase,1,O=C1c2ccccc2-c2nc3nonc3nc21,760,1
4382,N#CC(C=C2)=CC=C2C(N3N=CN=C3)C1=CC=C(C#N)C=C1,Letrozole,3902,"4,4'-(1H-1,2,4-Triazol-1-ylmethylene)bisbenzonitrile",C17H11N5,[112809-51-5],289.8,Enzymes,Cytochrome P450,Inhibitor,"Potent, reversible non-steroidal aromatase inhibitor",1,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,69,1
4387,O=C(C4=CC=C(Cl)C=C4)N[C@@H](CCCC3)[C@H]3N[C@H](C)C1=C2C(C=CC=C2)=CC=C1.Cl,Calhex 231 hydrochloride,11849513,"4-Chloro-N-[(1S,2S)-2-[[(1R)-1-(1-naphthalenyl)ethyl]amino]cyclohexyl]-benzamide hydrochloride",C25H27ClN2O.HCl,0,443.41,7-TM Receptors,Calcium-Sensing Receptor,Modulator,Negative allosteric modulator of calcium-sensing receptor (CaSR),1,C[C@@H](N[C@H]1CCCC[C@@H]1NC(=O)c1ccc(Cl)cc1)c1cccc2ccccc12,772,0
4388,O=C1CC(C3=CC=NC(C#N)=C3)=NC2=C(C=C(Br)C=C2)N1,MNI 137,25210562,"4-(8-Bromo-2,3-dihydro-2-oxo-1H-1,5-benzodiazepin-4-yl)-2-pyridinecarbonitrile",C15H9BrN4O,[946619-21-2],341.16,7-TM Receptors,Glutamate (Metabotropic) Group II Receptors,Modulator,Selective negative allosteric modulator of group II mGlu receptors,1,N#Cc1cc(C2=Nc3ccc(Br)cc3NC(=O)C2)ccn1,882,1
4395,O=C(NCCN2CCOCC2)C1=CC=C(Cl)C=C1,Moclobemide,4235,4-Chloro-N-[2-(4-morpholinyl)ethyl]benzamide,C13H17ClN2O2,[71320-77-9],268.74,Enzymes,Monoamine Oxidase,Inhibitor,Reversible MAO-A inhibitor,1,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,318,0
4400,FC(C=C2F)=CC=C2C1=NOC(CC(N3CCOCC3)=O)C1,(+/-)-CPSI 1306,59723793,"2-[3-(3-(2,4-Difluorophenyl)-4,5-dihydro-5-isoxazolyl]-1-(4-morpholinyl)ethanone",C15H16F2N2O3,[1309793-47-2],310.3,Cell biology,Cytokines,Other,Reported macrophage migration inhibitory factor (MIF) inhibitor,1,O=C(CC1CC(c2ccc(F)cc2F)=NO1)N1CCOCC1,227,0
4407,CC1=CC(C)=NN1C2=NC(C3=CC=CC(N4CCC(OC)CC4)=N3)=CC(NC(C)=O)=N2,TC-G 1004,25074316,"N-[2-(3,5-Dimethyl-1H-pyrazol-1-yl)-6-[6-(4-methoxy-1-piperidinyl)-2-pyridinyl]-4-pyrimidinyl]acetamide",C22H27N7O2,[1061747-72-5],430.51,7-TM Receptors,Adenosine A2A Receptors,Antagonist,Potent and selective A2A antagonist,1,COC1CCN(c2cccc(-c3cc(NC(C)=O)nc(-n4nc(C)cc4C)n3)n2)CC1,488,1
4414,FC1=C(C(C)(O)C)C=CN2C1=NC=C2C3=CC=C(F)C(C4=CC=C(F)C=C4C#N)=C3,TP 003,10001434,"2',4-Difluoro-5'-[8-fluoro-7-(1-hydroxy-1-methylethyl)imidazo[1,2-a]-pyridin-3-yl]-[1,1'-biphenyl]-2-carbonitrile",C23H16F3N3O,[628690-75-5],407.39,Ion Channels,GABAA Receptors,Benzodiazepine,GABAA partial agonist; acts at benzodiazepine site,1,CC(C)(O)c1ccn2c(-c3ccc(F)c(-c4ccc(F)cc4C#N)c3)cnc2c1F,860,1
